AGCBF,07-May-2018,0.2216,0.2216,0.2049,0.2049,8600
AGCCF,07-May-2018,0.1,0.1,0.1,0.1,0
AGDY,07-May-2018,0.05,0.05,0.05,0.05,100
AGESY,07-May-2018,53.535,53.55,53.43,53.43,3400
AGFMF,07-May-2018,5.29,5.29,5.29,5.29,8000
AGGI,07-May-2018,0.002,0.002,0.002,0.002,0
AGGZF,07-May-2018,41.0615,41.228,41.0101,41.228,700
AGHC,07-May-2018,1.1,1.1,1.1,1.1,0
AGHEF,07-May-2018,0.016,0.016,0.016,0.016,100000
AGHI,07-May-2018,0.1355,0.1799,0.1355,0.1799,2100
AGIN,07-May-2018,0.0074,0.0099,0.0074,0.0074,33700
AGLDF,07-May-2018,0.05,0.05,0.05,0.05,0
AGLNY,07-May-2018,16.5,16.5,16.5,16.5,200
AGMIF,07-May-2018,0.0516,0.0516,0.0516,0.0516,0
AGNU,07-May-2018,0.09,0.1043,0.0871,0.095,66200
AGPPF,07-May-2018,27.668,27.668,27.668,27.668,0
AGRPY,07-May-2018,28.6,28.6,28.6,28.6,1000
AGTEF,07-May-2018,0.1041,0.1042,0.1041,0.1042,11000
AGTK,07-May-2018,0.0176,0.0176,0.0158,0.0164,3604600
AGUNF,07-May-2018,0.043,0.043,0.043,0.043,100
AGXXF,07-May-2018,12.99,13.2471,12.99,13.2471,1100
AGYP,07-May-2018,0.0108,0.0108,0.0108,0.0108,11000
AHAG,07-May-2018,0.0073,0.0073,0.0073,0.0073,2200
AHCHY,07-May-2018,30.3299,30.3299,29.54,29.845,5100
AHCP,07-May-2018,0.027,0.027,0.027,0.027,0
AHEXY,07-May-2018,33.4,33.62,33.38,33.525,12000
AHFD,07-May-2018,0.0002,0.0002,0.0002,0.0002,0
AHFP,07-May-2018,0.0188,0.0188,0.0188,0.0188,10000
AHGIF,07-May-2018,0.8443,0.95,0.8382,0.95,14700
AHIX,07-May-2018,0.0003,0.0005,0.0003,0.0005,144368700
AHKSY,07-May-2018,27.8499,27.85,27.45,27.65,11400
AHNR,07-May-2018,0.06,0.06,0.06,0.06,0
AHODF,07-May-2018,22.68,22.73,22.68,22.73,14000
AHOTF,07-May-2018,6.2639,6.29,6.2096,6.265,4900
AHROQ,07-May-2018,0.004,0.004,0.004,0.004,0
AIBRF,07-May-2018,5.8,6.05,5.8,6.05,5000
AILLP,07-May-2018,93,93,93,93,100
AIMH,07-May-2018,0.0085,0.0085,0.0078,0.0079,140000
AINSF,07-May-2018,0.9047,0.9047,0.9047,0.9047,1000
AIPUY,07-May-2018,23.24,23.24,23.24,23.24,10800
AIQUY,07-May-2018,25.805,25.92,25.5,25.86,38400
AIRO,07-May-2018,5.25,5.25,4.69,5.25,900
AIRRF,07-May-2018,0.608,0.612,0.6079,0.612,11100
AIRYY,07-May-2018,26.13,26.13,26.13,26.13,300
AISSF,07-May-2018,0.3526,0.3526,0.3365,0.3371,11800
AITB,07-May-2018,2.82,2.82,2.75,2.75,400
AITG,07-May-2018,0.032,0.032,0.0255,0.0319,260700
AIVN,07-May-2018,0.01,0.01,0.01,0.01,65000
AJINY,07-May-2018,18.59,18.59,18.59,18.59,300
AJMPF,07-May-2018,5.35,5.5,5.35,5.35,9100
AJSB,07-May-2018,14,14,14,14,100
AKBTY,07-May-2018,3.86,3.8899,3.83,3.85,99700
AKMNF,07-May-2018,3.8705,3.8705,3.8705,3.8705,0
AKOM,07-May-2018,4.8,4.8,4.8,4.8,3500
AKZOF,07-May-2018,90.1,90.1,90.1,90.1,700
AKZOY,07-May-2018,30.07,30.2,30.05,30.15,29400
ALAD,07-May-2018,22,22,22,22,0
ALARF,07-May-2018,13.4377,13.4377,13.4377,13.4377,0
ALBKF,07-May-2018,2.444,2.444,2.36,2.36,25300
ALBKY,07-May-2018,0.6311,0.6349,0.61,0.61,93200
ALBY,07-May-2018,2.6,2.6,2.6,2.6,0
ALES,07-May-2018,2.5,2.5,2.5,2.5,0
ALFVY,07-May-2018,25.58,25.71,25.54,25.585,12100
ALGDF,07-May-2018,0.098,0.098,0.098,0.098,0
ALGGY,07-May-2018,12.8875,13.09,12.56,13.09,12400
ALGI,07-May-2018,0.034,0.034,0.03,0.03,8000
ALGWF,07-May-2018,0.207,0.207,0.1923,0.1931,2300
ALGXY,07-May-2018,0.2244,0.2244,0.1935,0.1935,5500
ALIAF,07-May-2018,1.83,1.84,1.83,1.84,4500
ALIF,07-May-2018,0.017,0.017,0.016,0.016,2500
ALIZF,07-May-2018,240.25,240.75,240.25,240.75,900
ALKEF,07-May-2018,0.22,0.22,0.22,0.22,5000
ALKM,07-May-2018,0.0018,0.002,0.0017,0.0017,101690200
ALKN,07-May-2018,0.0008,0.001,0.0008,0.0008,1200400
ALLM,07-May-2018,0.028,0.029,0.028,0.028,127200
ALMFF,07-May-2018,15.21,15.21,15.21,15.21,0
ALMTF,07-May-2018,0.3283,0.3287,0.32,0.32,5000
ALNPY,07-May-2018,7.62,7.62,7.62,7.62,0
ALPMF,07-May-2018,14.49,14.49,14.49,14.49,0
ALPMY,07-May-2018,14.58,14.86,14.58,14.86,42300
ALPP,07-May-2018,0.06,0.08,0.06,0.06,57400
ALPVN,07-May-2018,98.52,98.52,98.52,98.52,300
ALRS,07-May-2018,24.5,24.5,24.5,24.5,500
ALRT,07-May-2018,0.0357,0.0357,0.0323,0.0343,36700
ALSI,07-May-2018,0.0155,0.0155,0.0155,0.0155,0
ALSSF,07-May-2018,3.525,3.53,3.47,3.49,11200
ALST,07-May-2018,0.0021,0.0021,0.0017,0.002,680000
ALSWF,07-May-2018,5.5649,5.6,5.49,5.5,21500
ALTAF,07-May-2018,0.28,0.28,0.27,0.271,13400
ALTKY,07-May-2018,1.63,1.63,1.63,1.63,0
ALVOF,07-May-2018,0.135,0.1731,0.135,0.1726,125100
ALVRQ,07-May-2018,0.0013,0.002,0.0013,0.002,500
ALXDF,07-May-2018,0.0635,0.0635,0.06,0.06,2200
ALXEF,07-May-2018,0.053,0.053,0.053,0.053,1100
ALXXF,07-May-2018,0.31,0.322,0.31,0.322,90500
ALYI,07-May-2018,0.0193,0.022,0.0181,0.0213,867400
AMADF,07-May-2018,75.2,76.38,75.2,76.38,3900
AMADY,07-May-2018,75.15,76.39,75.15,75.65,149300
AMAR,07-May-2018,0.28,0.28,0.275,0.275,5000
AMAZ,07-May-2018,0.435,0.44,0.332,0.415,157100
AMBFF,07-May-2018,28.42,28.42,28.42,28.42,100
AMBK,07-May-2018,12.1,12.1,12.1,12.1,100
AMBS,07-May-2018,0.049,0.052,0.045,0.045,1293600
AMBTQ,07-May-2018,0.002,0.002,0.002,0.002,1300
AMBZ,07-May-2018,39.75,39.75,39.75,39.75,500
AMCF,07-May-2018,0.035,0.035,0.0348,0.0348,11100
AMCO,07-May-2018,0.0002,0.0002,0.0002,0.0002,0
AMCRY,07-May-2018,40.13,40.21,39.86,40.005,30100
AMEN,07-May-2018,680,800,680,800,100
AMEUF,07-May-2018,0.2625,0.2748,0.2625,0.2748,1100
AMFE,07-May-2018,0.1249,0.1249,0.1151,0.119,769500
AMGDF,07-May-2018,0.0101,0.0101,0.0101,0.0101,0
AMHD,07-May-2018,0.311,0.38,0.311,0.38,10800
AMIGY,07-May-2018,27.61,27.61,26.75,26.75,2400
AMKBY,07-May-2018,7.96,7.96,7.89,7.94,80100
AMLH,07-May-2018,0.0005,0.0005,0.0004,0.0005,29728500
AMLM,07-May-2018,0.0355,0.036,0.03,0.036,154300
AMLYY,07-May-2018,12.5,12.5,12.5,12.5,200
AMMJ,07-May-2018,0.983,1,0.975,0.99,90100
AMMX,07-May-2018,0.0085,0.0093,0.0074,0.009,257000
AMNF,07-May-2018,2.6,2.69,2.6,2.69,7000
AMNL,07-May-2018,0.11,0.11,0.1,0.1,184000
AMNP,07-May-2018,0.02,0.02,0.02,0.02,0
AMPG,07-May-2018,0.034,0.0355,0.034,0.0355,24000
AMPY,07-May-2018,10.4,10.65,10.4,10.55,103700
AMPYW,07-May-2018,0.135,0.15,0.135,0.15,10300
AMRZF,07-May-2018,0.0397,0.0397,0.0397,0.0397,200
